nombre,grupoMuscular,tipo,implemento,dificultad,archivoGif,descripcion,regresion,progresion
"Push Up Rodillas Apoyadas + Giro","brazos;pecho;hombros",bilateral,peso_corporal,principiante,PushUpRodillasApoyadas+Giro.gif,"Ejercicio bilateral de brazos y pecho y hombros","Versión con más apoyo o inclinada","Versión completa sin apoyo en rodillas"
"Push Ups","brazos;pecho;hombros",bilateral,peso_corporal,intermedio,PushUps.gif,"Ejercicio bilateral de brazos y pecho y hombros","Push Up Apoyo Rodillas","Push Up Pies Elevados"
"Remo 1 Mano Mancuerna","brazos;espalda",bilateral,mancuernas,intermedio,Remo1ManoMancuerna.gif,"Ejercicio bilateral de brazos y espalda","Versión con peso corporal","Mayor peso o movimiento más complejo"
"Remo Mancuernas Simultaneo","brazos;espalda",bilateral,mancuernas,intermedio,RemoMancuernasSimultaneo.gif,"Ejercicio bilateral de brazos y espalda","Versión con peso corporal","Mayor peso o movimiento más complejo"
"Sentadilla + Estocadas Alternadas","piernas;gluteos",alternado,peso_corporal,intermedio,Sentadilla+EstocadasAlternadas.gif,"Ejercicio alternado de piernas y gluteos","Versión más simple o con apoyo","Versión más desafiante"
"Sentadilla","piernas;gluteos",bilateral,peso_corporal,intermedio,Sentadilla.gif,"Ejercicio bilateral de piernas y gluteos","Sentadilla Desde Cajon","Sentadilla Con Salto"
"Sentadilla Con Salto","piernas;gluteos;cardio",bilateral,peso_corporal,avanzado,SentadillaConSalto.gif,"Ejercicio bilateral de piernas y gluteos y cardio","Sentadilla","Salto en cajón"
"Sentadilla Desde Cajon","piernas;gluteos",bilateral,banco,intermedio,SentadillaDesdeCajon.gif,"Ejercicio bilateral de piernas y gluteos","Sentadilla asistida con silla","Sentadilla"
"Sentadilla Frontal Mancuernas","piernas;gluteos",bilateral,mancuernas,intermedio,SentadillaFrontalMancuernas.gif,"Ejercicio bilateral de piernas y gluteos","Sentadilla","Goblet Squat"
"Sentadilla Isometrica Mancuernas","piernas;gluteos",bilateral,mancuernas,intermedio,SentadillaIsometricaMancuernas.gif,"Ejercicio bilateral de piernas y gluteos","SentadillaIsométrica.gif","Sentadilla Frontal Mancuernas"
"Sentadilla Isométrica","piernas;gluteos",bilateral,peso_corporal,intermedio,SentadillaIsométrica.gif,"Ejercicio bilateral de piernas y gluteos","Versión más simple o con apoyo","Versión más desafiante"
"Skipping","cardio",bilateral,peso_corporal,intermedio,Skipping.gif,"Ejercicio bilateral de cardio","Versión más simple o con apoyo","Versión más desafiante"
"Soft Jumping Jacks","cardio;cuerpo_completo",bilateral,peso_corporal,principiante,SoftJumpingJacks.gif,"Ejercicio bilateral de cardio y cuerpo_completo","Versión asistida o con apoyo","Versión estándar"
"Subida Al Banco Alternada","piernas",alternado,banco,intermedio,SubidaAlBancoAlternada.gif,"Ejercicio alternado de piernas","Versión más simple o con apoyo","Versión más desafiante"
"Subida Al Banco Mancuernas Unilateral","piernas",bilateral,mancuernas,intermedio,SubidaAlBancoMancuernasUnilateral.gif,"Ejercicio bilateral de piernas","Versión bilateral del mismo ejercicio","Agregar peso o resistencia"
"Subida Banco Alt C Mancuernas","core;abdominales;piernas",alternado,mancuernas,intermedio,SubidaBancoAltCMancuernas.gif,"Ejercicio alternado de core y abdominales y piernas","Versión con peso corporal","Mayor peso o movimiento más complejo"
"Subida Banco Alternada Con Mancuernas","core;abdominales;piernas",alternado,mancuernas,intermedio,SubidaBancoAlternadaConMancuernas.gif,"Ejercicio alternado de core y abdominales y piernas","Versión con peso corporal","Mayor peso o movimiento más complejo"
"Subida Banco Peso Corporal Unilateral","core;abdominales;piernas",bilateral,banco,intermedio,SubidaBancoPesoCorporalUnilateral.gif,"Ejercicio bilateral de core y abdominales y piernas","Versión bilateral del mismo ejercicio","Agregar peso o resistencia"
"Toque Hombros","hombros",bilateral,peso_corporal,intermedio,ToqueHombros.gif,"Ejercicio bilateral de hombros","Versión más simple o con apoyo","Versión más desafiante"
"Triceps A La Frente Mancuernas Suelo","brazos",bilateral,mancuernas,intermedio,TricepsALaFrenteMancuernasSuelo.gif,"Ejercicio bilateral de brazos","Versión con peso corporal","Mayor peso o movimiento más complejo"
"Vuelos Laterales","hombros",bilateral,peso_corporal,intermedio,VuelosLaterales.gif,"Ejercicio bilateral de hombros","Versión más simple o con apoyo","Versión más desafiante"
"Walk Outs","general",bilateral,peso_corporal,intermedio,WalkOuts.gif,"Ejercicio bilateral de general","Versión más simple o con apoyo","Versión más desafiante"
"Wall Slides","espalda;hombros",bilateral,pared,intermedio,Wall Slides.gif,"Ejercicio bilateral de espalda y hombros","Versión más simple o con apoyo","Versión más desafiante"
